Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (USD),Weight,Qty owned,Wanted,Value new (USD),Value used (USD)
70836-1,The LEGO Movie 2,,2019,Battle-Ready Batman and MetalBeard,2,168,19.99,0.24,0,,15.83,12.5
75934-1,Jurassic World,Legend of Isla Nublar,2019,Dilophosaurus on the Loose,3,168,19.99,,0,,26.62,18.75
75241-1,Star Wars,Episode V,2019,Action Battle Echo Base Defence,6,504,59.99,,0,,49.73,36.3
75243-1,Star Wars,Episode V,2019,Slave I - 20th Anniversary Edition,6,1007,119.99,,0,,189.88,164.24
60228-1,City,Space,2019,Deep Space Rocket and Launch Control,7,837,99.99,1.831,0,,89.98,75.95
76123-1,Marvel Super Heroes,Avengers: Endgame,2019,Captain America: Outriders Attack,4,167,19.99,,0,,23.54,15.3
21317-1,Ideas,Licensed,2019,Steamboat Willie,2,751,89.99,,0,,118.98,101.51
75261-1,Star Wars,Episode III,2019,Clone Scout Walker  – 20th Anniversary Edition,5,250,29.99,,0,,64.91,55.02
41364-1,Friends,,2019,Stephanie's Buggy & Trailer ,1,166,19.99,0.29,0,,17.72,12
30362-1,City,Sky Police,2019,Sky Police Jetpack,2,33,3.99,0.025,0,,4.18,
75947-1,Harry Potter,Prisoner of Azkaban,2019,Hagrid's Hut: Buckbeak's Rescue,6,496,59.99,,0,,57.63,43.93
75249-1,Star Wars,The Rise of Skywalker,2019,Resistance Y-wing Starfighter,5,578,69.99,,0,,59.65,46.43
70684-1,Ninjago,Spinjitzu Slam,2019,Spinjitzu Slam - Kai vs. Samurai,2,164,19.99,,0,,19.52,4.4
60214-1,City,Fire,2019,Burger Bar Fire Rescue,3,327,39.99,0.61,0,,30.75,18.35
75227-1,Star Wars,Promotional,2019,Darth Vader Bust,,327,39.99,,0,,153.27,65
75251-1,Star Wars,Miscellaneous,2019,Darth Vader's Castle,6,1060,129.99,,0,,159.66,135.83
41169-1,Disney,Frozen II,2019,Olaf,,122,14.99,,0,,13.36,4.94
42092-1,Technic,,2019,Rescue Helicopter,,325,39.99,0.45,0,,28.28,20.38
75975-1,Overwatch,,2019,Watchpoint: Gibraltar,4,730,89.99,1.39,0,,82.61,69.67
41383-1,Friends,,2019,Olivia's Hamster Playground,1,81,9.99,0.1,0,,11.95,6.65
41373-1,Friends,Amusement Park,2019,Funny Octopus Ride,2,324,39.99,,0,,34.1,26.64
70849-1,The LEGO Movie 2,,2019,Wyld-Mayhem Star Fighter,4,405,49.99,,0,,42.38,
41372-1,Friends,,2019,Stephanie's Gymnastics Show,2,241,29.99,,0,,41.54,15.74
76144-1,Marvel Super Heroes,Avengers: Endgame,2019,Avengers Hulk Helicopter Rescue,5,482,59.99,0.65,0,,57.68,55.11
30460-1,The LEGO Movie 2,,2019,Rex's Plantimal Ambush,1,32,3.99,,0,,3.9,1.75
40368-1,Xtra,,2019,Xmas Accessories,1,32,3.99,0.025,0,,6.69,5.56
853906-1,Seasonal,Birthday,2019,LEGO Greeting Card,1,40,4.99,0.041,0,,7.21,
75938-1,Jurassic World,Legend of Isla Nublar,2019,T. rex vs Dino-Mech Battle,4,716,89.99,,0,,138.62,147.75
75246-1,Star Wars,Episode IV,2019,Death Star Cannon,2,159,19.99,,0,,16.19,13.02
75242-1,Star Wars,Resistance,2019,Black Ace TIE Interceptor,3,396,49.99,,0,,48.87,44.57
75226-1,Star Wars,Battlefront,2019,Inferno Squad Battle Pack,4,118,14.99,0.12,0,,28.87,25.19
70826-1,The LEGO Movie 2,,2019,Rex's Rex-treme Offroader!,2,236,29.99,0.44,0,,26.2,15.38
75239-1,Star Wars,Episode V,2019,Hoth Generator Attack,2,235,29.99,,0,,21.72,13.98
60235-1,City,Seasonal,2019,City Advent Calendar,8,234,29.99,0.387,0,,23.5,15.05
75233-1,Star Wars,Episode III,2019,Droid Gunship,4,389,49.99,0.65,0,,99.91,76.55
75256-1,Star Wars,The Rise of Skywalker,2019,Kylo Ren's Shuttle,6,1005,129.99,,0,,130.82,105.91
75259-1,Star Wars,Episode V,2019,Snowspeeder – 20th Anniversary Edition,4,309,39.99,,0,,83.24,70.73
70834-1,The LEGO Movie 2,,2019,MetalBeard's Heavy Metal Motor Trike!,2,461,59.99,,0,,53.63,40
75964-1,Harry Potter,Seasonal,2019,Harry Potter Advent Calendar,8,305,39.99,,0,,34.16,26.1
70822-1,The LEGO Movie 2,,2019,Unikitty's Sweetest Friends EVER!,3,76,9.99,0.08,0,,7.22,5.25
75977-1,Overwatch,,2019,Junkrat & Roadhog,2,380,49.99,,0,,52.46,39.75
41634-1,BrickHeadz,The LEGO Movie 2,2019,Emmet,,113,14.99,,0,,105.73,68.52
60218-1,City,Great Vehicles,2019,Desert Rally Racer,1,75,9.99,0.161,0,,10.74,7.12
41168-1,Disney,Frozen II,2019,Elsa's Jewellery Box,1,300,39.99,,0,,28.96,20
75937-1,Jurassic World,Legend of Isla Nublar,2019,Triceratops Rampage,4,447,59.99,,0,,88.24,57.52
60221-1,City,Great Vehicles,2019,Diving Yacht,2,148,19.99,0.336,0,,17.62,13.55
60215-1,City,Fire,2019,Fire Station,4,509,69.99,1.166,0,,55.46,39.29
75225-1,Star Wars,The Last Jedi,2019,Elite Praetorian Guard Battle Pack,5,109,14.99,0.12,0,,19.5,17.76
75935-1,Jurassic World,Legend of Isla Nublar,2019,Baryonyx Face-Off: The Treasure Hunt,4,434,59.99,,0,,69.19,52.45
70682-1,Ninjago,Spinjitzu Slam,2019,Spinjitzu Slam - Jay,1,72,9.99,,0,,10.46,5.83
41371-1,Friends,,2019,Mia's Horse Trailer,2,216,29.99,,0,,25.31,20.13
76130-1,Marvel Super Heroes,Spider-Man: Far From Home,2019,Stark Jet and the Drone Attack,4,504,69.99,,0,,60.36,45.17
70830-1,The LEGO Movie 2,,2019,Sweet Mayhem's Systar Starship!,3,502,69.99,0.91,0,,46.1,27
75240-1,Star Wars,Resistance,2019,Major Vonreg's TIE Fighter,4,496,69.99,,0,,82.79,73.79
41162-1,Disney,Disney Princess,2019,"Ariel, Aurora, and Tiana's Royal Celebration",3,282,39.99,,0,,75.71,59.95
60229-1,City,Space,2019, Rocket Assembly & Transport,8,1055,149.99,2.375,0,,152.53,84.95
30410-1,Friends,,2019,Mia's Water Fun,1,28,3.99,,0,,2.78,
70681-1,Ninjago,Spinjitzu Slam,2019,Spinjitzu Slam - Lloyd,1,70,9.99,,0,,9.14,5.83
75245-1,Star Wars,Seasonal,2019,Star Wars Advent Calendar,9,280,39.99,,0,,35.71,32.3
76131-1,Marvel Super Heroes,Avengers: Endgame,2019,Avengers Compound Battle,7,699,99.99,,0,,103.22,74.58
10766-1,Toy Story,Toy Story 4,2019,Woody & RC,1,69,9.99,,0,,11.33,8.48
60227-1,City,Space,2019,Lunar Space Station,5,412,59.99,0.897,0,,59.09,41.94
75252-1,Star Wars,Ultimate Collector Series,2019,Imperial Star Destroyer,2,4784,699.99,12.42,0,,618.54,593.03
60226-1,City,Space,2019,Mars Research Shuttle,2,273,39.99,0.609,0,,30.41,19.94
70841-1,The LEGO Movie 2,,2019,Benny's Space Squad,5,68,9.99,0.09,0,,13.41,11.34
60225-1,City,Space,2019,Rover Testing Drive,2,202,29.99,0.363,0,,23.19,17.26
60231-1,City,Fire,2019,Fire Chief Response Truck,2,201,29.99,0.379,0,,23.36,19.62
60209-1,City,Sky Police,2019,Diamond Heist,4,400,59.99,0.797,0,,54.42,37.4
41167-1,Disney,Frozen II,2019,Arendelle Castle,3,521,79.99,,0,,59.38,
41161-1,Disney,Aladdin,2019,Aladdin's and Jasmine's Palace Adventures,2,193,29.99,0.38,0,,41.69,38
75238-1,Star Wars,Episode VI,2019,Action Battle Endor Assault,2,193,29.99,,0,,23.47,
60212-1,City,Fire,2019,Barbecue Burn Out,2,64,9.99,0.13,0,,8.27,5.31
42090-1,Technic,,2019,Getaway Truck,,128,19.99,0.31,0,,20.18,6.4
60207-1,City,Sky Police,2019,Sky Police Drone Chase,3,192,29.99,0.351,0,,19.26,15.38
70683-1,Ninjago,Spinjitzu Slam,2019,Spinjitzu Slam - Zane,1,63,9.99,,0,,11.55,5.83
75262-1,Star Wars,Legends,2019,Imperial Dropship  – 20th Anniversary Edition,5,125,19.99,,0,,36.96,31.22
75223-1,Star Wars,MicroFighters,2019,Naboo Starfighter Microfighter,1,62,9.99,0.08,0,,11.4,9.32
75945-1,Harry Potter,Prisoner of Azkaban,2019,Expecto Patronum,4,121,19.99,,0,,25.24,17.09
60217-1,City,Fire,2019,Fire Plane,3,363,59.99,0.763,0,,43.58,31.06
41164-1,Disney,Frozen II,2019,Enchanted Tree House,3,302,49.99,,0,,39.02,22
40341-1,Xtra,,2019,Sea Accessories,,24,3.99,0.025,0,,6.26,
10767-1,Toy Story,Toy Story 4,2019,Duke Caboom's Stunt Show,2,120,19.99,,0,,17.71,17
42091-1,Technic,,2019,Police Pursuit,,120,19.99,0.29,0,,19.55,8.78
76137-1,DC Comics Super Heroes,Batman,2019,Batman vs. The Riddler Robbery,2,59,9.99,,0,,15.24,11.46
41361-1,Friends,,2019,Mia's Foal Stable ,1,118,19.99,0.29,0,,17.85,13.99
75253-1,Star Wars,Boost,2019,Droid Commander,,1177,199.99,,0,,168.17,132.27
60210-1,City,Sky Police,2019,Air Base,6,529,89.99,1.222,0,,64.55,49.99
70821-1,The LEGO Movie 2,,2019,Emmet and Benny's 'Build and Fix' Workshop!,2,117,19.99,0.34,0,,17.57,14.8
70824-1,The LEGO Movie 2,,2019,Introducing Queen Watevra Wa'Nabi,4,115,19.99,0.24,0,,9.82,5.47
10768-1,Toy Story,Toy Story 4,2019,Buzz and Bo Peep's Playground Adventure,3,139,24.99,,0,,24.8,21
60208-1,City,Sky Police,2019,Parachute Arrest,4,218,39.99,0.478,0,,22.23,14.13
60206-1,City,Sky Police,2019,Jet Patrol,2,54,9.99,0.145,0,,9.36,5.75
70671-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,Lloyd's Journey,2,81,14.99,,0,,16.93,8.34
41165-1,Disney,Frozen II,2019,Anna's Canoe Expedition,2,108,19.99,,0,,18.16,8.75
853907-1,Seasonal,Christmas,2019,LEGO Toy Soldier Ornament,,43,7.99,0.067,0,,11.77,
60230-1,City,Space,2019,People Pack - Space Research and Development,15,209,39.99,0.153,0,,37.14,34.97
76133-1,Marvel Super Heroes,Spider-Man,2019,Spider-Man Car Chase,2,52,9.99,0.16,0,,17.29,7.93
853958-1,Seasonal,Easter,2019,Chicken Skater Pod,1,36,6.99,,0,,11.61,9.12
10769-1,Toy Story,Toy Story 4,2019,RV Vacation,3,178,34.99,,0,,29.42,25
41360-1,Friends,,2019,Emma's Mobile Veterinary Clinic ,1,50,9.99,0.1,0,,8.54,6.95
70847-1,The LEGO Movie 2,,2019,Good Morning Sparkle Babies!,4,50,9.99,,0,,19.05,14.47
76134-1,Marvel Super Heroes,Spider-Man,2019,Spider-Man: Doc Ock Diamond Heist,3,150,29.99,0.53,0,,39.53,14.25
41158-1,Disney,Aladdin,2019,Jasmine's Petite Tower,1,49,9.99,0.09,0,,9.86,5.4
10771-1,Toy Story,Toy Story 4,2019,Carnival Thrill Coaster,2,98,19.99,,0,,19.44,19.35
60213-1,City,Fire,2019,Dock Side Fire,2,97,19.99,0.246,0,,13.35,9.57
853922-1,Friends,Accessories,2019,Creative Rings,,43,8.99,,0,,,
70833-1,The LEGO Movie 2,,2019,Lucy's Builder Box!,2,141,29.99,,0,,16.24,3.99
60232-1,City,Town,2019,Garage Centre,4,234,49.99,0.624,0,,33.8,25.01
41362-1,Friends,,2019,Heartlake City Supermarket,2,140,29.99,,0,,32.05,
41160-1,Disney,The Little Mermaid,2019,Ariel's Castle,1,115,24.99,0.31,0,,28.24,26
10770-1,Toy Story,Toy Story 4,2019,Buzz & Woody's Carnival Mania!,5,230,49.99,,0,,29.53,15
60234-1,City,Town,2019,People Pack - Fun Fair,14,183,39.99,0.275,0,,33.18,32
41159-1,Disney,Cinderella,2019,Cinderella's Carriage Ride,1,91,19.99,0.24,0,,20.49,15.98
40342-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,Ninjago Minifigure Pack,4,59,12.99,,0,,15.95,
60220-1,City,Great Vehicles,2019,Garbage Truck,2,90,19.99,0.312,0,,17.05,10.32
41163-1,Disney,Tangled,2019,Rapunzel's Small Tower,1,44,9.99,0.09,0,,9.19,
75235-1,Star Wars,Episode IV,2019,X-wing Starfighter Trench Run,3,132,29.99,0.36,0,,33.91,30
76138-1,DC Comics Super Heroes,Batman,2019,Batman and The Joker Escape,4,171,39.99,,0,,33.09,23.75
70832-1,The LEGO Movie 2,,2019,Emmet's Builder Box!,1,125,29.99,,0,,20.25,
75247-1,Star Wars,Episode VI,2019,Rebel A-wing Starfighter,2,62,14.99,0.18,0,,16.18,14.67
41166-1,Disney,Frozen II,2019,Elsa and the Reindeer Carriage,1,116,29.99,,0,,25.08,19.17
75237-1,Star Wars,Episode IV,2019,TIE Fighter Attack,2,77,19.99,0.26,0,,27.69,21.77
42099-1,Technic,,2019,4x4 X-Treme Off-Roader,,958,249.99,,0,,192.35,146.19
71023-20,Collectable Minifigures,The LEGO Movie 2,2019,Unikitty,1,15,3.99,,0,,2.82,1.79
853865-1,The LEGO Movie 2,Miscellaneous,2019,TLM2 Accessory Set 2019,4,48,12.99,,0,,9.08,6.11
40344-1,Collectable Minifigures,Combi-pack,2019,Summer Celebration Minifigure Pack,,45,12.99,0.067,0,,12.89,
40345-1,City,Space,2019,Mars Exploration Minifigure Pack,4,44,12.99,0.07,0,,15.31,22.42
40343-1,Marvel Super Heroes,Spider-Man: Far From Home,2019,Spider-Man and the Museum Break-In,3,49,14.99,,0,,25.08,
42095-1,Technic,,2019,Remote-Controlled Stunt Racer,,324,99.99,0.79,0,,76.63,58.49
853875-1,The LEGO Movie 2,Miscellaneous,2019,Sweet Mayhem's Disco Pod,1,28,8.99,,0,,6.55,3.5
30624-1,Star Wars,Episode IV,2019,Obi-Wan Kenobi - Collectable Minifigure,1,12,3.99,,0,,10.68,8.05
71025-4,Collectable Minifigures,Series 19,2019,Monkey King,1,12,3.99,,0,,8.81,6.94
853874-1,The LEGO Movie 2,Miscellaneous,2019,Emmet Pod,1,27,8.99,,0,,8.25,
10887-1,Duplo,,2019,Creative Fun,1,120,39.99,1.45,0,,32.01,
853921-1,Xtra,,2019,Brick Stickers,,17,5.99,,0,,7.21,8
853899-1,Ninjago,Sons of Garmadon,2019,Lloyd's Kendo Training Pod,1,25,8.99,,0,,20.88,9.99
853866-1,Ninjago,March of the Oni,2019,Oni Battle Pack,3,36,12.99,,0,,28.66,12.93
71025-16,Collectable Minifigures,Series 19,2019,Mountain Biker,1,10,3.99,,0,,4.98,5.2
71024-16,Collectable Minifigures,Disney Series 2,2019,Jack Skellington,1,9,3.99,,0,,10.17,8.76
71025-3,Collectable Minifigures,Series 19,2019,Fright Knight,1,9,3.99,,0,,7.52,5.74
71025-5,Collectable Minifigures,Series 19,2019,Programmer,1,9,3.99,,0,,3.41,3.27
71025-9,Collectable Minifigures,Series 19,2019,Dog Sitter,1,9,3.99,,0,,8.45,8.28
71023-2,Collectable Minifigures,The LEGO Movie 2,2019,Battle-Ready Lucy,1,8,3.99,,0,,3.51,2.98
71023-3,Collectable Minifigures,The LEGO Movie 2,2019,Apocalypse Benny,1,8,3.99,,0,,4.19,2.88
71023-7,Collectable Minifigures,The LEGO Movie 2,2019,Hula Lula,1,8,3.99,,0,,3.12,2.33
71023-11,Collectable Minifigures,The LEGO Movie 2,2019,Candy Rapper,1,8,3.99,,0,,3.85,2.77
71023-19,Collectable Minifigures,The LEGO Movie 2,2019,Tin Man,1,8,3.99,,0,,6.62,6.27
71025-2,Collectable Minifigures,Series 19,2019,Shower Guy,1,8,3.99,,0,,5.68,5.26
71025-7,Collectable Minifigures,Series 19,2019,Jungle Explorer,1,8,3.99,,0,,4.89,4.21
71025-11,Collectable Minifigures,Series 19,2019,Galactic Bounty Hunter,1,8,3.99,,0,,4.18,3.72
71025-14,Collectable Minifigures,Series 19,2019,Fox Costume Girl,1,8,3.99,,0,,7.32,6.75
10895-1,Duplo,The LEGO Movie 2,2019,Emmet and Lucy's Visitors from the DUPLO Planet,2,53,29.99,0.8,0,,21.73,19.99
71023-1,Collectable Minifigures,The LEGO Movie 2,2019,Awesome Remix Emmet,1,7,3.99,,0,,3.92,2.92
71023-9,Collectable Minifigures,The LEGO Movie 2,2019,Flashback Lucy,1,7,3.99,,0,,4.1,2.82
71023-13,Collectable Minifigures,The LEGO Movie 2,2019,Apocalypseburg Abe,1,7,3.99,,0,,3.75,2.85
71023-15,Collectable Minifigures,The LEGO Movie 2,2019,Kitty Pop,1,7,3.99,,0,,3.48,2.92
71023-16,Collectable Minifigures,The LEGO Movie 2,2019,Dorothy Gale & Toto,1,7,3.99,,0,,8.81,8.11
71024-5,Collectable Minifigures,Disney Series 2,2019,Louie Duck,1,7,3.99,,0,,7.02,5.93
71024-6,Collectable Minifigures,Disney Series 2,2019,Scrooge McDuck,1,7,3.99,,0,,3.62,3.04
71024-10,Collectable Minifigures,Disney Series 2,2019,Anna,1,7,3.99,,0,,4.36,3.52
71024-11,Collectable Minifigures,Disney Series 2,2019,Jafar,1,7,3.99,,0,,4.09,3.49
71024-14,Collectable Minifigures,Disney Series 2,2019,Hercules,1,7,3.99,,0,,4.43,3.4
71024-17,Collectable Minifigures,Disney Series 2,2019,Edna Mode,1,7,3.99,,0,,3.58,2.75
71025-1,Collectable Minifigures,Series 19,2019,Video Game Champ,1,7,3.99,,0,,3.47,3.11
71025-12,Collectable Minifigures,Series 19,2019,Gardener,1,7,3.99,,0,,6.68,6.67
71025-15,Collectable Minifigures,Series 19,2019,Bear Costume Guy,1,7,3.99,,0,,3.94,3.65
10886-1,Duplo,,2019,My First Car Creations,,34,19.99,0.64,0,,16.03,
10903-1,Duplo,,2019,Fire Station,2,76,49.99,1.14,0,,44.41,37.47
71023-4,Collectable Minifigures,The LEGO Movie 2,2019,Giraffe Guy,1,6,3.99,,0,,7.04,4.92
71023-5,Collectable Minifigures,The LEGO Movie 2,2019,Crayon Girl,1,6,3.99,,0,,3.73,3.14
71023-6,Collectable Minifigures,The LEGO Movie 2,2019,Sherry Scratchen-Post & Scarfield,1,6,3.99,,0,,4.22,3.38
71023-8,Collectable Minifigures,The LEGO Movie 2,2019,Watermelon Dude,1,6,3.99,,0,,4.09,2.91
71023-10,Collectable Minifigures,The LEGO Movie 2,2019,Swamp Creature,1,6,3.99,,0,,3.62,2.67
71023-12,Collectable Minifigures,The LEGO Movie 2,2019,Gone Golfin' President Business,1,6,3.99,,0,,3.61,3.12
71023-14,Collectable Minifigures,The LEGO Movie 2,2019,Vest Friend Rex,1,6,3.99,,0,,4.06,3.04
71023-17,Collectable Minifigures,The LEGO Movie 2,2019,Cowardly Lion,1,6,3.99,,0,,6.4,5.69
71023-18,Collectable Minifigures,The LEGO Movie 2,2019,Scarecrow,1,6,3.99,,0,,6.22,4.9
71024-2,Collectable Minifigures,Disney Series 2,2019,Vintage Minnie,1,6,3.99,,0,,4.39,3.1
71024-3,Collectable Minifigures,Disney Series 2,2019,Huey Duck,1,6,3.99,,0,,8.27,9.11
71024-4,Collectable Minifigures,Disney Series 2,2019,Dewey Duck,1,6,3.99,,0,,7.86,6.97
71024-9,Collectable Minifigures,Disney Series 2,2019,Elsa,1,6,3.99,,0,,4.49,3.93
71024-15,Collectable Minifigures,Disney Series 2,2019,Sally,1,6,3.99,,0,,4.91,4.53
71024-18,Collectable Minifigures,Disney Series 2,2019,Frozone,1,6,3.99,,0,,2.91,2.51
71025-6,Collectable Minifigures,Series 19,2019,Mummy Queen,1,6,3.99,,0,,3.18,2.93
71025-8,Collectable Minifigures,Series 19,2019,Fire Fighter,1,6,3.99,,0,,3.43,2.99
71025-10,Collectable Minifigures,Series 19,2019,Pizza Costume Guy,1,6,3.99,,0,,4.74,4.14
71025-13,Collectable Minifigures,Series 19,2019,Rugby Player,1,6,3.99,,0,,3.59,2.9
10893-1,Duplo,Marvel Super Hero Adventures,2019,Spider-Man vs. Electro,2,29,19.99,0.41,0,,15.08,
10902-1,Duplo,,2019,Police Station,3,38,29.99,0.71,0,,24.41,19.25
71024-1,Collectable Minifigures,Disney Series 2,2019,Vintage Mickey,1,5,3.99,,0,,4.63,3.36
71024-7,Collectable Minifigures,Disney Series 2,2019,Chip,1,5,3.99,,0,,3.92,2.86
71024-12,Collectable Minifigures,Disney Series 2,2019,Jasmine,1,5,3.99,,0,,4.14,3.45
71024-13,Collectable Minifigures,Disney Series 2,2019,Hades,1,5,3.99,,0,,3.24,2.84
10906-1,Duplo,,2019,Tropical Island,3,73,59.99,,0,,67.27,
10907-1,Duplo,,2019,World Animals,6,121,99.99,,0,,97.44,
10908-1,Duplo,,2019,Plane,1,12,9.99,0.22,0,,8.9,
10910-1,Duplo,,2019,Submarine Adventure,2,24,19.99,,0,,18.37,
10899-1,Duplo,Frozen,2019,Frozen Ice Castle,3,59,49.99,,0,,49.68,
10889-1,Duplo,Mickey,2019,Mickey's Vacation House,3,57,49.99,0.987,0,,61.98,50
10883-1,Duplo,,2019,My First Tow Truck,,11,9.99,0.26,0,,8.53,5.66
10894-1,Duplo,Toy Story,2019,Toy Story Train,2,21,19.99,,0,,18.72,6.83
10901-1,Duplo,,2019,Fire Truck,2,21,19.99,0.45,0,,18.61,
71024-8,Collectable Minifigures,Disney Series 2,2019,Dale,1,4,3.99,,0,,3.83,2.88
10897-1,Duplo,Minnie,2019,My First Minnie Build,,10,9.99,0.25,0,,9.88,
10884-1,Duplo,,2019,My First Balancing Animals,,15,14.99,,0,,10.98,
10898-1,Duplo,Mickey,2019,My First Mickey Build,,9,9.99,0.24,0,,6.11,
10904-1,Duplo,,2019,Baby Animals,,9,9.99,0.18,0,,10.65,6.83
10900-1,Duplo,,2019,Police Bike,1,8,9.99,0.18,0,,9.17,7.99
10885-1,Duplo,,2019,My First Fun Puzzle,,15,19.99,0.55,0,,19.12,
88011-1,Powered Up,,2019,Train Motor,,7,13.99,0.067,0,,21.1,16.99
853967-1,Originals,,2019,Wooden Minifigure,,30,119.99,,0,,,
853967-2,Originals,,2019,"Wooden Minifigure, Colette Mon Amour Edition",,30,119.99,,0,,,
60236-1,City,Town,2019,Straight & T-Junction ,,2,14.99,0.2,0,,14.36,7.19
60237-1,City,Town,2019,Curves & Crossroad,,2,14.99,0.2,0,,11.32,7.25
88007-1,Powered Up,,2019,Colour & Distance Sensor,,1,13.99,,0,,17.87,
88008-1,Powered Up,,2019,Medium Linear Motor,,1,16.99,0.047,0,,19.65,22.22
88010-1,Powered Up,,2019,Remote Control,,1,22.99,,0,,16.63,7.15
88009-1,Powered Up,,2019,Hub,,1,49.99,,0,,51.27,44.88
88006-1,Powered Up,,2019,Boost Hub,,1,79.99,,0,,48.78,27.84
11920-1,Star Wars,Book Parts,2019,Star Wars: Build Your Own Adventure Galactic Missions parts,1,66,,,0,,20,
11922-1,Miscellaneous,,2019,Parts for The Book of Bedtime Builds,,,,,0,,,
11923-1,Harry Potter,Book Parts,2019,Harry Potter: Build Your Own Adventure parts,1,101,,,0,,19.55,
11924-1,Miscellaneous,,2019,Christmas Ideas parts,,41,,,0,,,
11926-1,Originals,,2019,Wooden Minifigure parts,,29,,,0,,3.5,
21055-1,Architecture,Landmark Series,2019,Burj Khalifa,,333,,,0,Yes,66.67,38.54
30327-1,Duplo,,2019,My First Duck,,6,,,0,,2.55,2.35
30328-0,Duplo,,2019,Town Rescue - {Random Bag},,,,,0,,,
30328-2,Duplo,,2019,Town Rescue - Bird,,,,,0,,,
30328-3,Duplo,,2019,Town Rescue - Fireman,,,,,0,,,
30328-4,Duplo,,2019,Town Rescue - Cat,,,,,0,,,
30328-5,Duplo,,2019,Town Rescue - Policewoman,,,,,0,,,
30328-6,Duplo,,2019,Town Rescue - Dog,,,,,0,,,
30340-1,The LEGO Movie 2,,2019,Emmet's 'Piece' Offering,1,44,,,0,,3.76,2.17
30361-1,City,Fire,2019,Fire ATV,1,39,,0.036,0,,3.71,5.2
30363-1,City,Harbour,2019,Race Boat,1,34,,0.034,0,,3.43,2.26
30364-1,City,General,2019,Popcorn Cart,1,43,,0.042,0,,6.98,4.63
30383-1,Star Wars,Episode I,2019,Naboo Starfighter,,48,,,0,,4.82,2.86
30384-1,Star Wars,Episode V,2019,Snowspeeder,,49,,,0,,4.93,1.95
30393-1,Minecraft,Minifig-scale,2019,Steve and Creeper Set,2,36,,,0,,9.04,4.53
30408-1,Friends,Miscellaneous,2019,Tulips,,90,,,0,,5.14,6.72
30409-1,Friends,,2019,Emma's Bumper Cars,1,66,,,0,,4.65,3.5
30451-1,Marvel Super Heroes,Spider-Man,2019,Spider-Man's Mini Spider Crawler,1,73,,,0,,6.22,3.41
30452-1,Marvel Super Heroes,Avengers: Endgame,2019,Iron Man and Dum-E,1,38,,,0,,6.27,3.7
30461-1,Star Wars,Episode I,2019,Podracer,,58,,,0,,5.92,2.34
30527-1,The LEGO Movie 2,,2019,Lucy vs. Alien Invader,1,44,,,0,,4.56,2.4
30528-1,The LEGO Movie 2,,2019,Mini Master-Building MetalBeard,1,42,,,0,,4.05,2.99
30529-1,The LEGO Movie 2,,2019,Mini Master-Building Emmet,1,49,,,0,,3.92,3.54
30533-1,Ninjago,Legacy,2019,Sam-X,,56,,,0,,3.82,3.27
30534-1,Ninjago,Legacy,2019,Ninja Workout,1,31,,,0,,4.77,2.96
30535-1,Ninjago,Legacy,2019,Fire Flight,1,54,,,0,,4.61,5.72
30545-1,Miscellaneous,Make It Yours,2019,Fish Free Builds - Make It Yours,,39,,,0,,3.09,
30572-1,Creator,Miscellaneous,2019,Race Car,,68,,,0,,3.61,2.99
30573-1,Creator,Seasonal,2019,Santa,,67,,0.038,0,,4.2,3.58
30620-1,The LEGO Movie 2,,2019,Star-Stuck Emmet,1,41,,,0,,4.88,3.93
30623-1,DC Comics Super Heroes,DC Extended Universe,2019,SHAZAM!,1,5,,,0,,11.17,
40318-1,Promotional,,2019,MSC Cruises,,181,,,0,,79.99,
40321-1,Promotional,Monthly Mini Model Build,2019,Jet Fighter,,23,,,0,,3.82,
40322-1,Promotional,Monthly Mini Model Build,2019,Caterpillar,,48,,,0,,5.82,2
40323-1,Promotional,Monthly Mini Model Build,2019,Viking Ship,,54,,,0,,5.61,
40324-1,Promotional,Monthly Mini Model Build,2019,Ladybird,,27,,,0,,4.75,
40325-1,Promotional,Monthly Mini Model Build,2019,Crane,,64,,,0,,4.49,2.99
40326-1,Promotional,Monthly Mini Model Build,2019,Frog,,39,,,0,,6.52,4.5
40327-1,Promotional,Monthly Mini Model Build,2019,Ice Cream Truck,,48,,,0,,5.03,3.6
40328-1,Promotional,Monthly Mini Model Build,2019,Racing Car,,50,,,0,,5.28,
40329-1,Promotional,Monthly Mini Model Build,2019,Eagle,,56,,,0,,6.7,3.39
40330-1,Promotional,Monthly Mini Model Build,2019,UFO,,36,,,0,,6.8,
40331-1,Promotional,Monthly Mini Model Build,2019,Wolf,,47,,,0,,6.18,
40332-1,Promotional,Monthly Mini Model Build,2019,Penguin,,47,,,0,,6.45,
40333-1,Star Wars,Promotional,2019,Battle of Hoth - 20th Anniversary Edition,,195,,,0,,41.29,44.5
40335-1,Ideas,Promotional,2019,Space Rocket Ride,1,154,,0.18,0,,26.92,16.73
40337-1,Creator Expert,Seasonal,2019,Microscale Gingerbread House,,499,,0.32,0,,31.32,19.97
40338-1,Seasonal,Christmas,2019,Christmas Tree,,392,,0.387,0,,81.93,63.82
40346-1,Promotional,LEGOLAND,2019,LEGOLAND,11,1336,,,0,,110.42,74.95
